Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Financier minute (pour utiliser des blancs d'oeuf)	Blanc d'oeuf	Gallus gallus	220 g	27.28 g	204.0	87.6	0.85	0.19	10.8	4	159.33	38.77	0.23	3.31	https://www.marmiton.org/recettes/recette_financier-minute-pour-utiliser-des-blancs-d-oeuf_17526.aspx
Tiramisu aux framboises	Sucre vanillé	Saccharum	5 g	4.99 g	NA	0.13	99	0.33	0.1	5	218.8	35.78	-4.67	17.75	https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx
Tiramisu aux framboises	Biscuit à la cuillère	Triticum	400 g	374.8 g	NA	6.3	79.9	3.77	7.98	5	218.8	35.78	-4.67	17.75	https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx
Tiramisu aux framboises	Lait	Bos taurus	1 l	106.0 g	198.0	89.4	4.83	1.55	3.38	5	218.8	35.78	-4.67	17.75	https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx
Tiramisu aux framboises	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	5	218.8	35.78	-4.67	17.75	https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx
Tiramisu aux framboises	Mascarpone	Bos taurus	250 g	121.25 g	NA	51.5	4	39	4.38	5	218.8	35.78	-4.67	17.75	https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx
Tiramisu aux framboises	Framboise	Rubus idaeus	500 g	66.0 g	206.0	86.8	5.83	0.8	1.19	5	218.8	35.78	-4.67	17.75	https://www.marmiton.org/recettes/recette_tiramisu-aux-framboises_28919.aspx
Baba au rhum express	Sucre en poudre	Saccharum	150 g	149.75 g	NA	0.17	99.8	0	0	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Levure chimique	NA	5 g	4.73 g	NA	5.4	33.2	0.2	1.96	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Lait	Bos taurus	45 g	4.77 g	198.0	89.4	4.83	1.55	3.38	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Eau	NA	25 cl	31.0 g	136.0	87.6	4.9	0.25	1.49	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Rhum	Saccharum officinarum	10 cl	36.5 g	1060.0	63.5	0	0	0	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Beurre	Bos taurus	50 g	42.3 g	3100.0	15.4	0.9	82.9	0.7	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Baba au rhum express	Sirop de sucre de canne	Saccharum	25 g	15.95 g	1080.0	36.2	62.6	 0.5	 0.5	4	200.4	35.08	2.0	0.87	https://www.marmiton.org/recettes/recette_baba-au-rhum-express_13608.aspx
Crumble simple	Farine	Triticum aestivum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	3	108.0	33.74	-0.28	3.56	https://www.marmiton.org/recettes/recette_crumble-simple_12173.aspx
Crumble simple	Beurre	Bos taurus	75 g	63.45 g	3100.0	15.4	0.9	82.9	0.7	3	108.0	33.74	-0.28	3.56	https://www.marmiton.org/recettes/recette_crumble-simple_12173.aspx
Crumble simple	Sucre	Saccharum	120 g	119.8 g	NA	0.17	99.8	0	0	3	108.0	33.74	-0.28	3.56	https://www.marmiton.org/recettes/recette_crumble-simple_12173.aspx
Crème pâtissière	Farine	Triticum aestivum	100 g	87.5 g	1480.0	12.5	73.7	1	9.03	4	130.0	31.17	-0.98	5.24	https://www.marmiton.org/recettes/recette_creme-patissiere_35195.aspx
Crème pâtissière	Sucre	Saccharum	200 g	199.66 g	NA	0.17	99.8	0	0	4	130.0	31.17	-0.98	5.24	https://www.marmiton.org/recettes/recette_creme-patissiere_35195.aspx
Crème pâtissière	Vanille	Vanilla planifolia	5 g	0.72 g	245.0	85.6	14.4	0	0.03	4	130.0	31.17	-0.98	5.24	https://www.marmiton.org/recettes/recette_creme-patissiere_35195.aspx
Crème pâtissière	Jaune d'oeuf	Gallus gallus	140 g	69.58 g	1410.0	50.3	1.31	30.1	16	4	130.0	31.17	-0.98	5.24	https://www.marmiton.org/recettes/recette_creme-patissiere_35195.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Farine	Triticum aestivum	30 g	26.25 g	1480.0	12.5	73.7	1	9.03	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Extrait de vanille	NA	5 g	1.77 g	996.0	64.5	2.41	0	0.05	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Fromage blanc	Bos taurus	500 g	92.5 g	368.0	81.5	5.68	4.31	7.1	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Crème fraîche	Bos taurus	25 cl	86.25 g	1250.0	65.5	2.8	30.7	3	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Biscuit	Triticum	250 g	234.25 g	NA	6.3	79.9	3.77	7.98	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Cheese cake (gâteau au fromage blanc) inratable 	Muscade	Myristica fragrans	3 g	2.81 g	2100.0	6.22	28.5	36.3	5.3	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
